CellTypeID	CellType	CellGroup	Tool
Erythrocytes_xCell	Erythrocytes	Red blood cells	xCell
CAF.pro.tumorigenesis_ssGSEA	Fibroblasts.CAF	Stromal cells	ssGSEA
CAF.TIDE_ssGSEA	Fibroblasts.CAF	Stromal cells	ssGSEA
CAF.Tumo.suppresive_ssGSEA	Fibroblasts.CAF.TS	Stromal cells	ssGSEA
CAFs_EPIC-mRNA	Fibroblasts.CAF	Stromal cells	EPIC-mRNA
Fibroblast.CellMarker_ssGSEA	Fibroblasts	Stromal cells	ssGSEA
Fibroblasts_MCP	Fibroblasts	Stromal cells	MCP
Fibroblasts_xCell	Fibroblasts	Stromal cells	xCell
Fibroblasts.Literature_ssGSEA	Fibroblasts	Stromal cells	ssGSEA
GMP_xCell	GMP	Progenitor cells	xCell
Hepatocytes_xCell	Hepatocyte	Hepatocyte cells	xCell
HSC_xCell	HSC	Stem cells	xCell
Hypoxia...negative.cancerSEA_ssGSEA	Hypoxia.neg	Pathway	ssGSEA
Hypoxia...positive.cancerSEA_ssGSEA	Hypoxia.pos	Pathway	ssGSEA
Hypoxia.HALLMARK_ssGSEA	Hypoxia	Pathway	ssGSEA
ICB.resistance.signature.1.Pallocca_ssGSEA	ICB.sig1	Pathway	ssGSEA
ICB.resistance.signature.2.Pallocca_ssGSEA	ICB.sig2	Pathway	ssGSEA
ICB.resistance.signature.3.Pallocca_ssGSEA	ICB.sig3	Pathway	ssGSEA
IFN.y..expanded.set..Pallocca_ssGSEA	IFNG	Pathway	ssGSEA
IFN.y..reduced.set..Pallocca_ssGSEA	IFNG	Pathway	ssGSEA
IFNG.Ayers_ssGSEA	IFNG	Pathway	ssGSEA
Inflammation...negative.cancerSEA_ssGSEA	Inflamation.neg	Pathway	ssGSEA
Inflammation...positive.cancerSEA_ssGSEA	Inflamation	Pathway	ssGSEA
Inflammatory.Angiogenic.Chemokines_ssGSEA	Inflamation.Chemokines	Pathway	ssGSEA
Inflammatory.Angiostatic.Chemokines_ssGSEA	Inflamation.Chemokines	Pathway	ssGSEA
Inflammatory.Chemokines_ssGSEA	Inflamation.Chemokines	Pathway	ssGSEA
Tcell_Inflamed.Ayers_ssGSEA	Inflamation.Tcells	Pathway	ssGSEA
Keratinocytes_xCell	Keratinocytes	Keratinocytes cells	xCell
Macrophage_TIMER	Macrophage	Leukocyte	TIMER
Macrophage.Innate_ssGSEA	Macrophage	Leukocyte	ssGSEA
Macrophages_EPIC-mRNA	Macrophage	Leukocyte	EPIC-mRNA
Macrophages_xCell	Macrophage	Leukocyte	xCell
Macrophages.Danaher_ssGSEA	Macrophage	Leukocyte	ssGSEA
Macrophages.Davoli_ssGSEA	Macrophage	Leukocyte	ssGSEA
Macrophages.M0_Cibersort	Macrophages.M0	Leukocyte	Cibersort
Macrophages.M0_CIBERSORTx	Macrophages.M0	Leukocyte	CIBERSORTx
Macrophages.M0_SGL	Macrophages.M0	Leukocyte	SGL
Macrophages.Sanders_ssGSEA	Macrophage	Leukocyte	ssGSEA
Macrophage.M1_quantiseq	Macrophages.M1	Leukocyte	quantiseq
Macrophages.M1_Cibersort	Macrophages.M1	Leukocyte	Cibersort
Macrophages.M1_CIBERSORTx	Macrophages.M1	Leukocyte	CIBERSORTx
Macrophages.M1_SGL	Macrophages.M1	Leukocyte	SGL
Macrophages.M1_xCell	Macrophages.M1	Leukocyte	xCell
Macrophages.M1.Davoli_ssGSEA	Macrophages.M1	Leukocyte	ssGSEA
Macrophage.M2_quantiseq	Macrophages.M2	Leukocyte	quantiseq
Macrophage.M2.CellMarker_ssGSEA	Macrophages.M2	Leukocyte	ssGSEA
Macrophages.M2_Cibersort	Macrophages.M2	Leukocyte	Cibersort
Macrophages.M2_CIBERSORTx	Macrophages.M2	Leukocyte	CIBERSORTx
Macrophages.M2_SGL	Macrophages.M2	Leukocyte	SGL
Macrophages.M2_xCell	Macrophages.M2	Leukocyte	xCell
Macrophages.M2.Davoli_ssGSEA	Macrophages.M2	Leukocyte	ssGSEA
TAM.M2_M1.TIDE_ssGSEA	Macrophage.M2_M1	Leukocyte	ssGSEA
Mast.cell.Innate_ssGSEA	Mast.cell	Leukocyte	ssGSEA
Mast.cells_xCell	Mast.cell	Leukocyte	xCell
Mast.cells.Danaher_ssGSEA	Mast.cell	Leukocyte	ssGSEA
Mast.cells.Sanders_ssGSEA	Mast.cell	Leukocyte	ssGSEA
Mast.cells.activated_Cibersort	Mast.cell.activated	Leukocyte	Cibersort
Mast.cells.activated_CIBERSORTx	Mast.cell.activated	Leukocyte	CIBERSORTx
Mast.cells.activated_SGL	Mast.cell.activated	Leukocyte	SGL
Mast.cells.resting_Cibersort	Mast.cell.resting	Leukocyte	Cibersort
Mast.cells.resting_CIBERSORTx	Mast.cell.resting	Leukocyte	CIBERSORTx
Mast.cells.resting_SGL	Mast.cell.resting	Leukocyte	SGL
MDSC.Innate_ssGSEA	MDSC	immune cell	ssGSEA
MDSC.TIDE_ssGSEA	MDSC	immune cell	ssGSEA
Megakaryocytes_xCell	Megakaryocytes	immune cell	xCell
Melanocytes_xCell	Melanocytes	Melanocytes cells	xCell
MEP_xCell	MEP	Progenitor cells	xCell
Mesangial.cells_xCell	Mesangial.cell	Mesangial.cell cells	xCell
MHC.Pallocca_ssGSEA	MHC	Pathway	ssGSEA
MMR.machinery..Pallocca_ssGSEA	MMR	Pathway	ssGSEA
Monocyte_quantiseq	Monocytes	Leukocyte	quantiseq
Monocyte.Innate_ssGSEA	Monocytes	Leukocyte	ssGSEA
Monocytes_Cibersort	Monocytes	Leukocyte	Cibersort
Monocytes_CIBERSORTx	Monocytes	Leukocyte	CIBERSORTx
Monocytes_SGL	Monocytes	Leukocyte	SGL
Monocytes_xCell	Monocytes	Leukocyte	xCell
Monocytic.lineage_MCP	Monocytic.lineage	Leukocyte	MCP
MPP_xCell	MPP	Progenitor cells	xCell
MSC_xCell	MSC	Stem cells	xCell
Myocytes_xCell	Myocytes	Myocytes cells	xCell
Neurons_xCell	Neurons	Neurons cells	xCell
Neutrophil_quantiseq	Neutrophils	Leukocyte	quantiseq
Neutrophil_TIMER	Neutrophils	Leukocyte	TIMER
Neutrophil.Innate_ssGSEA	Neutrophils	Leukocyte	ssGSEA
Neutrophils_Cibersort	Neutrophils	Leukocyte	Cibersort
Neutrophils_CIBERSORTx	Neutrophils	Leukocyte	CIBERSORTx
Neutrophils_MCP	Neutrophils	Leukocyte	MCP
Neutrophils_SGL	Neutrophils	Leukocyte	SGL
Neutrophils_xCell	Neutrophils	Leukocyte	xCell
Neutrophils.Danaher_ssGSEA	Neutrophils	Leukocyte	ssGSEA
